"Simulation","TargetYear","Quantile","Target_spatial_SD","N","RMSE","MAE","R2_predictive","Bias"
29,2009,0.28915973729454,0.0737970938658339,22733,0.0410422379745476,0.0332285102983636,0.690683808842956,7.50740909390681e-18
29,2016,0.127381406724453,0.0491224880024489,22733,0.0417608400099696,0.0365763961706355,0.27723544588651,4.68492764338483e-18
29,2024,0.0512832796666771,0.0346802577928904,22593,0.0549907072985454,0.0488181895792445,-1.51439323817265,-1.23591993366913e-18
30,2009,0.147113647311926,0.0634001592175234,22733,0.0417305320648324,0.0352415657192646,0.56674233827441,7.23589354523483e-18
30,2016,0.286083202576265,0.0612983498318603,22733,0.0328985630032763,0.0282892604839321,0.711945015301061,6.74454215131066e-18
30,2024,0.821812882088125,0.0841093961761855,22593,0.0260638690188506,0.0203308924062496,0.903969771656872,-1.80973908021417e-17
31,2009,0.963024232536554,0.124586547711158,22733,0.0687058041277403,0.0563012333550765,0.695866923591833,-4.99840427946909e-19
31,2016,0.625460998388007,0.0789341199415546,22733,0.0263053043530971,0.0214091744428597,0.888935254963437,-1.45520416830541e-18
31,2024,0.780399286188185,0.0809675036891702,22593,0.0258232548176778,0.0202662760866673,0.898276876989627,-9.47316579433285e-18
32,2009,0.902299045119435,0.115342473484904,22733,0.0613442862974966,0.0492276059095029,0.717128743389433,4.82468655201932e-18
32,2016,0.688293327810243,0.0825905425058498,22733,0.0263274055236657,0.0211139624886458,0.89838107581515,3.95347897966309e-18
32,2024,0.701403534272686,0.0757241456875226,22593,0.0263155409702672,0.021135067678991,0.879225551574156,3.33914761836414e-18
33,2009,0.690705278422683,0.0968071831828873,22733,0.0488210621525499,0.0375391699150721,0.745657822634555,-2.640772483453e-18
33,2016,0.15707598044537,0.0518026799901961,22733,0.0396145244850679,0.0345764016063265,0.415178214666801,8.52315917045906e-18
33,2024,0.488748003495857,0.0644544444301176,22593,0.030790192577439,0.0261305660649259,0.77178809581024,-1.37637019587778e-17
34,2009,0.795467417687178,0.104677128895717,22733,0.0536693819788907,0.0417832733385633,0.737113255276488,1.01167239518619e-17
34,2016,0.8000876493752,0.090222825587332,22733,0.0281308164423931,0.0222948830566516,0.902781049142063,-1.37708141751409e-17
34,2024,0.0762709053233266,0.0378137805101922,22593,0.0520420087779306,0.0460687663615835,-0.894205652053566,-5.73346340724464e-18
35,2009,0.0246136845089495,0.0486403273536777,22733,0.0476305876388925,0.0417851528444381,0.0410454909314452,3.2231478196652e-18
35,2016,0.197214724496007,0.0550676803448961,22733,0.0371340445175703,0.0322614059910169,0.54525278660497,6.46118356704203e-18
35,2024,0.639177477918565,0.0720830104305876,22593,0.0272924737610303,0.0224111931163203,0.856636302316259,-1.05852615307107e-17
36,2009,0.477795971091837,0.0843277668473549,22733,0.0432407203475599,0.0339193041160583,0.737055708995236,3.3126142914392e-18
36,2016,0.539300952339545,0.0744166140846664,22733,0.0270630768535866,0.0224490731084272,0.867738441980916,-1.10028415098854e-17
36,2024,0.752443283097818,0.0790155726057413,22593,0.0258761492029765,0.0204388337675768,0.892751029287606,-1.02118616042754e-17
37,2009,0.758459537522867,0.101699386922443,22733,0.0517381703470335,0.0399966964432666,0.741175986353911,4.53290212678996e-18
37,2016,0.979264308931306,0.111319466958849,22733,0.0414163803926457,0.0342393544364264,0.861572890653905,-5.45083649729114e-18
37,2024,0.0922554738353938,0.0395634760340063,22593,0.0504263479071415,0.0445584553871311,-0.624595969528239,-7.17414629204167e-18
38,2009,0.216407935833558,0.0688805119497669,22733,0.0409979091843465,0.0338790259564588,0.645717427009458,9.99047554103562e-18
38,2016,0.417024365160614,0.0685396309866473,22733,0.02912049524157,0.0246503443616691,0.819476770634706,3.60189126366111e-19
38,2024,0.89625528967008,0.0908888531849515,22593,0.0278697961590671,0.0218147129028187,0.90597018963482,-8.89420450957951e-18
39,2009,0.318181007634848,0.0755901617862231,22733,0.0412219987833883,0.0331477117906563,0.702596108369231,9.57196458388822e-18
39,2016,0.0813599277753383,0.044292746071414,22733,0.0458482944340639,0.0403737082492312,-0.0715199474184769,7.04345219044197e-18
39,2024,0.240549053065479,0.0515699042907828,22593,0.0399838428353729,0.034763203948066,0.398832303971416,-5.47148507324593e-18
40,2009,0.231625785352662,0.0699668829967958,22733,0.0409507414881302,0.0336857951268851,0.657423481873436,4.54238287457349e-18
40,2016,0.169817736838013,0.0528781356650461,22733,0.0387803457866022,0.0337976159943818,0.462114063509105,6.6218394078077e-18
40,2024,0.488574454793707,0.0644463845960238,22593,0.030794781712702,0.0261350727272448,0.771662960743644,-9.51738021684792e-18
41,2009,0.142800022382289,0.0630223615401301,22733,0.0418112839618965,0.0353580472794654,0.559833721784813,-4.09960578161644e-18
41,2016,0.188619487220421,0.054397299067355,22733,0.0376303999912991,0.0327248808458214,0.52143371360076,6.8432124541012e-19
41,2024,0.41285048564896,0.0610220466652399,22593,0.0328932671922161,0.0281485588397759,0.709424021306017,-1.93094335020018e-17
42,2009,0.414546335814521,0.0810248350288831,22733,0.0422788961654615,0.0334303622985271,0.727711014553552,6.28591641725123e-18
42,2016,0.0289958510547876,0.0367086960274715,22733,0.0527806055387066,0.0467742676090478,-1.06742577355299,4.82689890535044e-18
42,2024,0.0255179647356272,0.0305333168235034,22593,0.05900781784241,0.0525691856976179,-2.73499791273424,-2.29896881453193e-18
43,2009,0.413724326295778,0.0809811927973579,22733,0.0422676318906198,0.0334253734489249,0.727562680347957,1.1939469401601e-17
43,2016,0.280685564968735,0.0609523352145122,22733,0.0331132481846482,0.0284921101850741,0.70485055230682,6.18681359968254e-18
43,2024,0.981838257983327,0.1036422388513,22593,0.0349029584413424,0.0281351457566408,0.88658509550787,-1.91858963353946e-17
44,2009,0.368845450924709,0.0785362714455785,22733,0.0417041209016824,0.0332106916246149,0.718008194370623,-3.6312760374931e-20
44,2016,0.363969549071044,0.0658520501720691,22733,0.0303567724515003,0.0258663220322551,0.787483970006063,4.02744198753189e-18
44,2024,0.277975889388472,0.0539478543079892,22593,0.0380758714055855,0.0329816262860693,0.50183802581644,-6.35053978745941e-18
45,2009,0.152444747742265,0.0638599641245366,22733,0.0416374739184971,0.0351039159329431,0.574861426060577,8.11687577272901e-18
45,2016,0.275669225025922,0.0606271766902309,22733,0.0333174756084735,0.028685036038932,0.697984944718858,3.365448162482e-18
45,2024,0.958227271679789,0.09889522487662,22593,0.0318543690860573,0.0253837152449959,0.896245583140467,-1.43677158934851e-17
46,2009,0.13880606344901,0.0626677613528538,22733,0.0418905896727548,0.0354703313753655,0.553148016278698,5.68839978491842e-18
46,2016,0.1193430905696,0.0483472756340525,22733,0.0423985702414789,0.0371709435654585,0.23090938019314,6.42250464380771e-18
46,2024,0.549779859371483,0.0673842482130443,22593,0.0292384977579355,0.0245703794763101,0.811716371737824,-2.87811995343677e-18
47,2009,0.233034099452198,0.0700656947024819,22733,0.0409480606277153,0.0336695004148259,0.65843377884857,-2.66392141361929e-19
47,2016,0.130183234112337,0.0493872255471118,22733,0.0415447433969765,0.0363748888356485,0.292344302201768,1.53081407083257e-18
47,2024,0.514284488745034,0.065656446028266,22593,0.0301250147521481,0.0254723011698206,0.789467562835795,-1.31109269995292e-17
48,2009,0.465962450252846,0.0837120742534564,22733,0.0430456699927279,0.0338118940848248,0.735575408617688,7.20750853333663e-19
48,2016,0.872117399703711,0.0964147129968833,22733,0.0310527970403145,0.0248379780855237,0.896262941674658,-1.23472625769681e-18
48,2024,0.161862204549834,0.0458757352271603,22593,0.0447860017776863,0.0392636435736977,0.0469016144801322,-5.78677853200148e-18
49,2009,0.265972640365362,0.0723013511835361,22733,0.0409588951809513,0.0333651920028802,0.67906081567841,9.16324258974186e-18
49,2016,0.425545925740153,0.0689500724452756,22733,0.0289476730383947,0.0244764026265855,0.82373058294723,3.78276292265853e-18
49,2024,0.856546175898984,0.0870456703416646,22593,0.0266407307499683,0.0207686031216524,0.906326415069065,-4.01708710055015e-18
50,2009,0.857827715342864,0.110408155602779,22733,0.0576629205227427,0.0456458253401459,0.727221545544747,-4.95134929471439e-18
50,2016,0.100239850347862,0.0463992061913501,22733,0.0440327071583328,0.0386910562452726,0.0993650891137513,-3.42100708528348e-19
50,2024,0.986022271914408,0.104771022660001,22593,0.0356850134392521,0.0288416406062003,0.883986484774379,-3.57970488540609e-17
51,2009,0.0458311666734517,0.0522816168521947,22733,0.0456710720986374,0.0398220796844075,0.236861265519379,2.63121960019303e-18
51,2016,0.149625236866996,0.0511545479517219,22733,0.0401249332262478,0.0350518102534033,0.384710863139713,1.01262714696732e-17
